productName,productLine,warehouseCode,totalOrdered,quantityInStock
"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,a,985,5582
"1934 Ford V8 Coupe","Vintage Cars",c,985,5649
"America West Airlines B757-200",Planes,a,984,9653
"1958 Chevy Corvette Limited Edition","Classic Cars",b,983,2542
"1936 Chrysler Airflow","Vintage Cars",c,983,4710
"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",d,979,1016
"1970 Dodge Coronet","Classic Cars",b,976,4074
"1969 Dodge Super Bee","Classic Cars",b,974,1917
"ATA: B757-300",Planes,a,973,7106
"1958 Setra Bus","Trucks and Buses",d,972,1579
"1948 Porsche 356-A Roadster","Classic Cars",b,972,8826
"1928 British Royal Navy Airplane",Planes,a,972,3627
"1928 Ford Phaeton Deluxe","Vintage Cars",c,972,136
"1971 Alpine Renault 1600s","Classic Cars",b,969,7995
"1999 Yamaha Speed Boat",Ships,d,966,4259
"1962 City of Detroit Streetcar",Trains,d,966,1645
"1969 Ford Falcon","Classic Cars",b,965,1049
"1969 Corvair Monza","Classic Cars",b,963,6906
"1952 Alpine Renault 1300","Classic Cars",b,961,7305
"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",c,960,8635
"Boeing X-32A JSF",Planes,a,960,4857
"1957 Vespa GS150",Motorcycles,a,959,7689
"Pont Yacht",Ships,d,958,414
"1932 Model A Ford J-Coupe","Vintage Cars",c,957,9354
"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",c,955,2847
"1954 Greyhound Scenicruiser","Trucks and Buses",d,955,2874
"The Titanic",Ships,d,952,1956
"1949 Jaguar XK 120","Classic Cars",b,949,2350
"1948 Porsche Type 356 Roadster","Classic Cars",b,948,8990
"1993 Mazda RX-7","Classic Cars",b,947,3975
"1982 Ducati 900 Monster",Motorcycles,a,947,6840
"1936 Harley Davidson El Knucklehead",Motorcycles,a,945,4357
"1970 Triumph Spitfire","Classic Cars",b,945,5545
"1961 Chevrolet Impala","Classic Cars",b,941,7869
"1900s Vintage Bi-Plane",Planes,a,940,5942
"1939 Chevrolet Deluxe Coupe","Vintage Cars",c,937,7332
"1950's Chicago Surface Lines Streetcar",Trains,d,934,8601
"The Schooner Bluenose",Ships,d,934,1897
"1968 Ford Mustang","Classic Cars",b,933,68
"1962 LanciaA Delta 16V","Classic Cars",b,932,6791
"1968 Dodge Charger","Classic Cars",b,925,9123
"1940 Ford Delivery Sedan","Vintage Cars",c,923,6621
"1917 Grand Touring Sedan","Vintage Cars",c,918,2724
"Collectable Wooden Train",Trains,d,918,6450
"1995 Honda Civic","Classic Cars",b,917,9772
"P-51-D Mustang",Planes,a,917,992
"1976 Ford Gran Torino","Classic Cars",b,915,9127
"1966 Shelby Cobra 427 S/C","Classic Cars",b,915,8197
"1965 Aston Martin DB5","Classic Cars",b,914,9042
"1982 Lamborghini Diablo","Classic Cars",b,912,7723
"1980’s GM Manhattan Express","Trucks and Buses",d,911,5099
"18th Century Vintage Horse Carriage","Vintage Cars",c,907,5992
"1982 Ducati 996 R",Motorcycles,a,906,9241
"1970 Plymouth Hemi Cuda","Classic Cars",b,900,5663
"1974 Ducati 350 Mk3 Desmo",Motorcycles,a,898,3341
"The Mayflower",Ships,d,898,737
"HMS Bounty",Ships,d,897,3501
"The Queen Mary",Ships,d,896,5088
"2002 Chevy Corvette","Classic Cars",b,894,9446
"American Airlines: B767-300",Planes,a,894,5841
"1937 Horch 930V Limousine","Vintage Cars",c,884,2902
"1903 Ford Model A","Vintage Cars",c,883,3913
"1928 Mercedes-Benz SSK","Vintage Cars",c,880,548
"1952 Citroen-15CV","Classic Cars",b,873,1452
"1969 Chevrolet Camaro Z28","Classic Cars",b,870,4695
"1992 Porsche Cayenne Turbo Silver","Classic Cars",b,867,6582
"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",c,866,6553
"1999 Indy 500 Monte Carlo SS","Classic Cars",b,855,8164
"1911 Ford Town Car","Vintage Cars",c,832,540
"1936 Mercedes Benz 500k Roadster","Vintage Cars",c,824,2081
"1970 Chevy Chevelle SS 454","Classic Cars",b,803,1005
"1957 Ford Thunderbird","Classic Cars",b,767,3209
"1985 Toyota Supra","Classic Cars",b,NULL,7733
